alias,material_base_norm,material_grade_norm,confidence,source_file,source_row,review_required,review_reason
SUS304,SUS304,SUS304,0.95,材料价格.xlsx,3,FALSE,
0Cr19Ni9,SUS304,SUS304,0.95,材料价格.xlsx,3,FALSE,
X5CrNi18-10,SUS304,SUS304,0.95,材料价格.xlsx,3,FALSE,
1.4301,SUS304,SUS304,0.95,材料价格.xlsx,3,FALSE,
SUS303,SUS303,SUS303,0.95,材料价格.xlsx,4,FALSE,
Y1Cr18Ni9,SUS303,SUS303,0.95,材料价格.xlsx,4,FALSE,
X8CrNiSi18-9,SUS303,SUS303,0.95,材料价格.xlsx,4,FALSE,
1.4305,SUS303,SUS303,0.95,材料价格.xlsx,4,FALSE,
45#,45#,45#,0.95,材料价格.xlsx,5,FALSE,
C45,45#,45#,0.95,材料价格.xlsx,5,FALSE,
S45C,45#,45#,0.95,材料价格.xlsx,5,FALSE,
1.1191,45#,45#,0.95,材料价格.xlsx,5,FALSE,
080A47,45#,45#,0.95,材料价格.xlsx,5,FALSE,
080M46,45#,45#,0.95,材料价格.xlsx,5,FALSE,
XC45,45#,45#,0.95,材料价格.xlsx,5,FALSE,
Cr12,Cr12,Cr12,0.95,材料价格.xlsx,6,FALSE,
X210Cr12,Cr12,Cr12,0.95,材料价格.xlsx,6,FALSE,
SKD1,Cr12,Cr12,0.95,材料价格.xlsx,6,FALSE,
1.208,Cr12,Cr12,0.95,材料价格.xlsx,6,FALSE,
210Cr12,Cr12,Cr12,0.95,材料价格.xlsx,6,FALSE,
BD3,Cr12,Cr12,0.95,材料价格.xlsx,6,FALSE,
Cr12MoV,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
90MnCrV 8,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
X165CrMoV12,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
1.2601,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
SKD11,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
2310,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
D2,Cr12MoV,Cr12MoV,0.95,材料价格.xlsx,7,FALSE,
Q235,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
S235JR,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
SS400,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
1.0037,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
SS41,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
Fe360A,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
ST-52,Q235,Q235,0.95,材料价格.xlsx,8,FALSE,
50#钢,50#钢,50#钢,0.95,材料价格.xlsx,9,FALSE,
C50E4,50#钢,50#钢,0.95,材料价格.xlsx,9,FALSE,
S50C,50#钢,50#钢,0.95,材料价格.xlsx,9,FALSE,
1.121,50#钢,50#钢,0.95,材料价格.xlsx,9,FALSE,
1050,50#钢,50#钢,0.95,材料价格.xlsx,9,FALSE,
060A52,50#钢,50#钢,0.95,材料价格.xlsx,9,FALSE,
40Cr,40Cr,40Cr,0.95,材料价格.xlsx,10,FALSE,
5140,40Cr,40Cr,0.95,材料价格.xlsx,10,FALSE,
41Cr4,40Cr,40Cr,0.95,材料价格.xlsx,10,FALSE,
1.7035,40Cr,40Cr,0.95,材料价格.xlsx,10,FALSE,
SCr440,40Cr,40Cr,0.95,材料价格.xlsx,10,FALSE,
4140,4140,4140,0.95,材料价格.xlsx,11,FALSE,
42CrMo,4140,4140,0.95,材料价格.xlsx,11,FALSE,
SCM440,4140,4140,0.95,材料价格.xlsx,11,FALSE,
1.7225,4140,4140,0.95,材料价格.xlsx,11,FALSE,
4142,4142,4142,0.95,材料价格.xlsx,13,FALSE,
42CrMnMo,4142,4142,0.95,材料价格.xlsx,13,FALSE,
17-4PH,17-4PH,17-4PH,0.95,材料价格.xlsx,14,FALSE,
0Cr17Ni14Cu4Nb,17-4PH,17-4PH,0.95,材料价格.xlsx,14,FALSE,
SUS630,17-4PH,17-4PH,0.95,材料价格.xlsx,14,FALSE,
1.4542,17-4PH,17-4PH,0.95,材料价格.xlsx,14,FALSE,
X5CrNiCuNb16-4,17-4PH,17-4PH,0.95,材料价格.xlsx,14,FALSE,
SUS316,SUS316,SUS316,0.95,材料价格.xlsx,15,FALSE,
0Cr17Ni12Mo2,SUS316,SUS316,0.95,材料价格.xlsx,15,FALSE,
X5CrNiMo17-12-2,SUS316,SUS316,0.95,材料价格.xlsx,15,FALSE,
1.4401,SUS316,SUS316,0.95,材料价格.xlsx,15,FALSE,
SUS316L,SUS316L,SUS316L,0.95,材料价格.xlsx,16,FALSE,
00Cr17Ni14Mo2,SUS316L,SUS316L,0.95,材料价格.xlsx,16,FALSE,
1.4435,SUS316L,SUS316L,0.95,材料价格.xlsx,16,FALSE,
1.4404,SUS316L,SUS316L,0.95,材料价格.xlsx,16,FALSE,
S275,S275,S275,0.95,材料价格.xlsx,17,FALSE,
12Cr17Ni7,S275,S275,0.95,材料价格.xlsx,17,FALSE,
SUS321,SUS321,SUS321,0.95,材料价格.xlsx,18,FALSE,
1Cr18Ni9Ti,SUS321,SUS321,0.95,材料价格.xlsx,18,FALSE,
1.4878,SUS321,SUS321,0.95,材料价格.xlsx,18,FALSE,
440C,440C,440C,0.95,材料价格.xlsx,19,FALSE,
11Cr17,440C,440C,0.95,材料价格.xlsx,19,FALSE,
9Cr18,440C,440C,0.95,材料价格.xlsx,19,FALSE,
1.4112,440C,440C,0.95,材料价格.xlsx,19,FALSE,
X90CrMoV18,440C,440C,0.95,材料价格.xlsx,19,FALSE,
SS314,SS314,SS314,0.95,材料价格.xlsx,20,FALSE,
00Cr22Ni5Mo3N,SS314,SS314,0.95,材料价格.xlsx,20,FALSE,
SUS420J2,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
3Cr13,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
X30Cr13,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
1.4028,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
1.2083,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
S136,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
M310,SUS420J2,SUS420J2,0.95,材料价格.xlsx,21,FALSE,
SUS430,SUS430,SUS430,0.95,材料价格.xlsx,22,FALSE,
Y1Cr17,SUS430,SUS430,0.95,材料价格.xlsx,22,FALSE,
