alias,material_base_norms,source
90mncrv 8,Cr12MoV|SKD11,材料价格.xlsx
x165crmov12,Cr12MoV|SKD11,材料价格.xlsx
1.2601,Cr12MoV|SKD11,材料价格.xlsx
skd11,Cr12MoV|SKD11,材料价格.xlsx
2310,Cr12MoV|SKD11,材料价格.xlsx
d2,Cr12MoV|D2,材料价格.xlsx
42crmo,4140|4142,材料价格.xlsx
1.4028,30Cr13|SUS420J2,材料价格.xlsx
20crmo,20Crmo|30CRMO,材料价格.xlsx
9crwmn,9CrWMn|O1|SKS3,材料价格.xlsx
100mncrw4,9CrWMn|O1|SKS3,材料价格.xlsx
sks3,9CrWMn|O1|SKS3,材料价格.xlsx
95mnwcr1,9CrWMn|O1|SKS3,材料价格.xlsx
1.251,O1|SKS3,材料价格.xlsx
中等强度，耐腐蚀性能好,6060|6061,材料价格.xlsx
3.3211,6061-T6|LD30,材料价格.xlsx
almg2.5,5053(日本进口)|5A02,材料价格.xlsx
3.3523,5053(日本进口)|LF2,材料价格.xlsx
alznmgcu0.5,7075(国产)|7075(进口),材料价格.xlsx
alzn5.5mgcu,7075(国产)|7075(进口),材料价格.xlsx
3.4365/3.4345,7075(国产)|7075(进口),材料价格.xlsx
alznmgcu1.5,7075(进口)|7A09,材料价格.xlsx
h15,2A11|LD10,材料价格.xlsx
almncu,3003|3A21,材料价格.xlsx
a-m1,3003|3A21,材料价格.xlsx
3103,3003|3A21,材料价格.xlsx
尼龙,MC|PA12|PA46|PA66,材料价格.xlsx
聚对苯二甲酸,PBT|PBT+GF30,材料价格.xlsx
聚苯硫醚,PPS|PPS+GF,材料价格.xlsx
聚醚醚酮,PEEK|PEEK(名牌：KETRON100),材料价格.xlsx
